,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,swimming_pool,state
2572,9140 Temse,House,124000,1.0,60.0,,0.0,,,,,,60.0,222.0,4.0,0.0, Good
2573,4420 Saint-Nicolas,Apartment,124000,2.0,93.0,Installed,0.0,,,,,,93.0,,2.0,0.0, Good
2574,8370 Blankenberge,Apartment,124000,2.0,,,,,,,,,,,,,
2575,8660 De Panne Adinkerke,Apartment,124000,2.0,30.0,,1.0,,,,,,30.0,,4.0,, As new
2576,7370 Dour,House,124000,3.0,130.0,,0.0,,,,1.0,250.0,130.0,900.0,2.0,,
2577,1090 Jette,Apartment,124000,,54.0,Installed,0.0,,1.0,2.0,,,54.0,,4.0,,
2578,7331 Baudour,House,124000,2.0,,,,,,,,,,,,,
2579,4020 Lige,Studio,124400,1.0,37.0,Installed,1.0,,,,,,37.0,,,0.0, Good
2580,6000 Charleroi,Apartment,124500,2.0,85.0,Installed,0.0,,,,,,85.0,,,0.0, As new
2581,4800 Verviers Ensival,House,124500,3.0,130.0,Installed,0.0,,,,1.0,220.0,130.0,280.0,2.0,0.0, To be done up
2582,8870 Izegem,Apartment,124500,1.0,,,,,,,,,,,2.0,,
2583,7012 Jemappes,House,124900,2.0,121.0,Semi equipped,0.0,,,,,,121.0,86.0,3.0,, Good
2584,4800 Verviers,Rsidence DES COTEAUX,124900,,,,,,,,,,,,,,
2585,4460 Grace-Hollogne,House,124900,2.0,90.0,Semi equipped,0.0,,1.0,30.0,1.0,780.0,90.0,870.0,3.0,, To renovate
2586,5620 Florennes,House,124900,3.0,110.0,Semi equipped,0.0,,,,1.0,113.0,110.0,230.0,2.0,, To renovate
2587,8400 Oostende,Studio,124900,,47.0,Installed,0.0,,,,,,47.0,,,, Good
2588,6200 CHATELET,House,124999,3.0,120.0,Semi equipped,0.0,,1.0,15.0,,,120.0,83.0,2.0,0.0, Good
2589,7170 LA HESTRE,House,124999,3.0,116.0,Installed,0.0,,1.0,21.0,,,116.0,61.0,3.0,0.0, Good
