,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,swimming_pool,state
6785,4960 Malmedy,House,157000,3.0,230.0,,0.0,,1.0,15.0,1.0,35.0,230.0,,3.0,,
6786,8480 Eernegem,House,157000,3.0,110.0,,0.0,,,,,,110.0,84.0,2.0,, To renovate
6787,7060 Soignies,Ecoquartier des Aulnes - Les Charmes,157000,,,,,,,,,,,,,,
6788,9100 Sint-Niklaas,House,157000,2.0,,,,,,,,,,324.0,,,
6789,2060 Antwerp,Apartment,157000,1.0,44.0,Semi equipped,0.0,,,,,,44.0,,2.0,, Good
6790,2300 Turnhout,Apartment,157000,2.0,81.0,,0.0,,1.0,6.0,,,81.0,,,0.0, To be done up
6791,4870 Trooz,House,157000,3.0,150.0,Installed,,,1.0,15.0,1.0,230.0,150.0,,4.0,, To be done up
6792,3800 SINT-TRUIDEN,Apartment,157000,2.0,,Installed,0.0,,,,,,,,2.0,, Good
6793,8501 Bissegem,Apartment,157000,2.0,70.0,Semi equipped,0.0,,,,,,70.0,,2.0,, Good
6794,9600 Ronse,House,157000,3.0,,Not installed,0.0,,,,,,,130.0,2.0,, To renovate
6795,2100 Deurne,Apartment,157000,2.0,88.0,,0.0,,1.0,8.0,,,88.0,,4.0,0.0, To be done up
6796,1080 Molenbeek-St-Jean,Penthouse,157000,1.0,,Semi equipped,1.0,,1.0,32.0,,,,,2.0,, Good
6797,9100 Sint-Niklaas,House,157000,3.0,82.0,,0.0,,,,,,82.0,82.0,1.0,0.0, To be done up
6798,8000 Brugge,Apartment,157000,1.0,43.0,,0.0,,,,,,43.0,,2.0,, Good
6799,8830 Hooglede,House,157000,2.0,108.0,Installed,0.0,,,,,,108.0,112.0,,, To renovate
6800,8930 Lauwe,House,157000,4.0,125.0,Not installed,0.0,,,,,,125.0,279.0,,, To renovate
6801,2060 Antwerp,Apartment,157000,2.0,92.0,,,,,,,,92.0,,2.0,,
6802,9990 Maldegem,Service flat,157220,1.0,61.0,Installed,0.0,,,,,,61.0,,2.0,0.0, As new
